,backtest,baseline
sharpe_ratio,2.78,0.46
maximum_drawdown_percentage,-8.23,-36.16
total_trades,267.43,1.0
percentage_of_gain_trades,69.2,17.14
percentage_of_loss_trades,30.8,82.86
avg_gain_per_trade,900.88,-1299.11
avg_loss_per_trade,-453.52,24558.8
avg_gain_percentage,12.21,-2.13
avg_loss_percentage,-5.8,46.47
payoff,552.0,23259.69
profit_factor,4.45,1299.11
recuperation_factor,18582.43,815.79
better_months,0.57,0.43
median_annual_profit_percentage,24.38,8.73
mean_annual_profit_percentage,24.64,8.6
max_annual_profit_percentage,40.12,27.76
min_annual_profit_percentage,12.25,-11.43
std_annual_profit_percentage,6.55,8.76
